conf-18 | PID CONTROLLER USING DSP TMS320VC5416 PROCESSOR | snippet: 5/6 words matched
patent-21 | ELECTRIFY MOBILITY | snippet: ipindia gov in patentsearch patentsearch viewapplicationstatus 99 patent title electrify mobility applicant patil arpit sanjay bhagwat atharav rajendra vasani chirag vidyut rodr

patent-22 | EYE STREAM: A SECURE, REAL-TIME DRONE SURVEILLANCE SYSTEM | snippet: ing dec 16 18 2024 https ieeexplore ieee org document 10859322 103 patent title eye stream a secure real time drone surveillance system applicant devraj panchal srushti gavand hiba fatima kiran talele dayanand ambaw

patent-23 | DOPPEL SCAN: DUAL AUTHENTICATION CONTACTLESS ATTENDANCE SYSTEM | snippet: ipindia gov in patentsearch patentsearch viewapplicationstatus 104 patent title doppel scan dual authentication contactless attendance system applicant kiran tulshiram talele bhavisha chafekar kris dcosta saket lad invent

patent-24 | AUTOMATED CROP HEALTH MONITORING SYSTEM USING UNMANNED AERIAL VEHICLE | snippet: ipindia gov in patentsearch patentsearch viewapplicationstatus 105 patent title automated crop health monitoring system using unmanned aerial vehicle applicant harshita jogi kaustubh gode kaustubh gharat dr sujata kulkarni dr kir

patent-25 | SPEED MAPPING FOR INDIAN ROADS | snippet: ipindia gov in patentsearch patentsearch viewapplicationstatus 106 patent title speed mapping for indian roads applicant gandhi ronit kumar mayur dabhane janhavi talele kiran inventor gandhi

patent-26 | GROUND ROBOT FOR AGRICULTURE | snippet: ipindia gov in patentsearch patentsearch viewapplicationstatus 107 patent title ground robot for agriculture applicants bhartiya vidya bhavans sardar patel institute of technology mr parth

patent-27 | DRONE FOR TUNNEL INSPECTION | snippet: at register akz 2020251001780 cursor 0 dr kiran talele page 23 109 patent title drone for tunnel inspection applicants malay phadke neel patel preyes parab om patil dev oza gandhar kulkar

patent-28 | MEDICAL MONITORING DEVICE | snippet: b link https www registered design service gov uk find 6494543 116 patent title medical monitoring device applicants bhakti talele chhavi talele krishna gangaramani sanyogeeta pradhan s

patent-29 | SMART SPEAKER WITH PROJECTOR | snippet: b link https www registered design service gov uk find 6494544 115 patent title smart speaker with projector applicants bhakti talele chhavi talele krishna gangaramani sanyogeeta pradhan s

patent-30 | SERVICE ROBOT | snippet: b link https www registered design service gov uk find 6494545 117 patent title service robot applicants bhakti talele chhavi talele krishna gangaramani sanyogeeta pradhan s

patent-31 | SYSTEM AND METHOD FOR MULTILINGUAL TRANSLATOR WITH SPEAKER IDENTIFICATION ON PORTABLE SINGLE BOARD COMPUTER | snippet: b link https www registered design service gov uk find 6494546 118 patent title system and method for multilingual translator with speaker identification on portable single board computer applicant sardar patel institute of technology inventor pragati chandrakant mor

patent-32 | A Bank Safe Deposit Box Security System With Biometric Authentication And Sensor Monitoring | snippet: b link https www registered design service gov uk find 6409906 108 patent title a bank safe deposit box security system with biometric authentication and sensor monitoring applicants hallur srushti jain dishita kolekar maheshkumar kulkarni samruddhi k

patent-33 | BIOMETRIC TERMINAL | snippet: ieeexplore ieee org abstract document 11194555 patent total 8 113 patent title biometric terminal applicants bhakti talele chhavi talele krishna gangaramani sanyogeeta pradhan s

patent-34 | TOY ROBOT | snippet: b link https www registered design service gov uk find 6494541 114 patent title toy robot applicants bhakti talele chhavi talele krishna gangaramani sanyogeeta pradhan s

patent-35 | A SECURE SYSTEM FOR BIOMETRIC VOTER IDENTIFICATION AND VOTING AUTHORIZATION | snippet: ipindia gov in patentsearch patentsearch viewapplicationstatus 119 patent title a secure system for biometric voter identification and voting authorization applicants agarwal mayank barve aryan deshpande harshit dound ankita gangaraman

patent-36 | A WEARABLE PHYSIOLOGICAL MONITORING AND SIGNAL PROCESSING SYSTEM | snippet: r dpma de dpmaregister pat register akz 2020261019178 cursor 0 120 patent title a wearable physiological monitoring and signal processing system ipc classification a61b 5 021 applicants chitre parth gupta pulkit kulkarni diy
